ANO;TITULO;VENCEDOR;LINK WIKIPEDIA;LINK ESPANHOL;LINK PORTUGUÊS
1940;Of Mice and Men (1939 film);Não;https://en.wikipedia.org/wiki/Of_Mice_and_Men_(1939_film);https://es.wikipedia.org/wiki/Of_Mice_and_Men_(pel%C3%ADcula_de_1939);https://pt.wikipedia.org/wiki/Of_Mice_and_Men_(1939)
1940;Stagecoach (1939 film);Não;https://en.wikipedia.org/wiki/Stagecoach_(1939_film);https://es.wikipedia.org/wiki/La_diligencia;https://pt.wikipedia.org/wiki/Stagecoach_(1939)
1940;The Wizard of Oz (1939 film);Não;https://en.wikipedia.org/wiki/The_Wizard_of_Oz_(1939_film);https://es.wikipedia.org/wiki/El_mago_de_Oz;https://pt.wikipedia.org/wiki/The_Wizard_of_Oz_(1939)
1940;Wuthering Heights (1939 film);Não;https://en.wikipedia.org/wiki/Wuthering_Heights_(1939_film);https://es.wikipedia.org/wiki/Cumbres_Borrascosas_(pel%C3%ADcula_de_1939);https://pt.wikipedia.org/wiki/Wuthering_Heights_(filme_de_1939)
1941;Rebecca (1940 film);Sim;https://en.wikipedia.org/wiki/Rebecca_(1940_film);https://es.wikipedia.org/wiki/Rebecca_(pel%C3%ADcula);https://pt.wikipedia.org/wiki/Rebecca_(1940)
1941;All This, and Heaven Too;Não;https://en.wikipedia.org/wiki/All_This_and_Heaven_Too;https://es.wikipedia.org/wiki/El_cielo_y_t%C3%BA;https://pt.wikipedia.org/wiki/All_This,_and_Heaven_Too
1941;Foreign Correspondent (film);Não;https://en.wikipedia.org/wiki/Foreign_Correspondent_(film);https://es.wikipedia.org/wiki/Foreign_Correspondent;https://pt.wikipedia.org/wiki/Foreign_Correspondent
1941;The Grapes of Wrath (film);Não;https://en.wikipedia.org/wiki/The_Grapes_of_Wrath_(film);https://es.wikipedia.org/wiki/The_Grapes_of_Wrath_(pel%C3%ADcula);https://pt.wikipedia.org/wiki/As_Vinhas_da_Ira_(filme)
1941;The Great Dictator;Não;https://en.wikipedia.org/wiki/The_Great_Dictator;https://es.wikipedia.org/wiki/El_gran_dictador;https://pt.wikipedia.org/wiki/O_Grande_Ditador
1941;Kitty Foyle (film);Não;https://en.wikipedia.org/wiki/Kitty_Foyle_(film);https://es.wikipedia.org/wiki/Espejismo_de_amor;https://pt.wikipedia.org/wiki/Kitty_Foyle
1941;The Letter (1940 film);Não;https://en.wikipedia.org/wiki/The_Letter_(1940_film);https://es.wikipedia.org/wiki/La_carta_(pel%C3%ADcula_de_1940);https://pt.wikipedia.org/wiki/A_Carta_(1940)
1941;The Long Voyage Home;Não;https://en.wikipedia.org/wiki/The_Long_Voyage_Home;https://es.wikipedia.org/wiki/The_Long_Voyage_Home_(pel%C3%ADcula_de_1940);https://pt.wikipedia.org/wiki/The_Long_Voyage_Home
1941;Our Town (1940 film);Não;https://en.wikipedia.org/wiki/Our_Town_(1940_film);https://es.wikipedia.org/wiki/Our_Town_(pel%C3%ADcula);https://pt.wikipedia.org/wiki/Our_Town
1941;The Philadelphia Story (film);Não;https://en.wikipedia.org/wiki/The_Philadelphia_Story_(film);https://es.wikipedia.org/wiki/The_Philadelphia_Story;https://pt.wikipedia.org/wiki/The_Philadelphia_Story
1942;How Green Was My Valley (film);Sim;https://en.wikipedia.org/wiki/How_Green_Was_My_Valley_(film);https://es.wikipedia.org/wiki/%C2%A1Qu%C3%A9_verde_era_mi_valle!;https://pt.wikipedia.org/wiki/How_Green_Was_My_Valley
1942;Blossoms in the Dust;Não;https://en.wikipedia.org/wiki/Blossoms_in_the_Dust;https://es.wikipedia.org/wiki/De_coraz%C3%B3n_a_coraz%C3%B3n;https://pt.wikipedia.org/wiki/Blossoms_in_the_Dust
1942;Citizen Kane;Não;https://en.wikipedia.org/wiki/Citizen_Kane;https://es.wikipedia.org/wiki/Citizen_Kane;https://pt.wikipedia.org/wiki/Citizen_Kane
1942;Here Comes Mr. Jordan;Não;https://en.wikipedia.org/wiki/Here_Comes_Mr._Jordan;https://es.wikipedia.org/wiki/Here_Comes_Mr._Jordan;https://pt.wikipedia.org/wiki/Here_Comes_Mr._Jordan
1942;Hold Back the Dawn;Não;https://en.wikipedia.org/wiki/Hold_Back_the_Dawn;https://es.wikipedia.org/wiki/Si_no_amaneciera;https://pt.wikipedia.org/wiki/Hold_Back_the_Dawn
1942;The Little Foxes (film);Não;https://en.wikipedia.org/wiki/The_Little_Foxes_(film);https://es.wikipedia.org/wiki/La_loba_(pel%C3%ADcula_de_1941);https://pt.wikipedia.org/wiki/The_Little_Foxes
1942;The Maltese Falcon (1941 film);Não;https://en.wikipedia.org/wiki/The_Maltese_Falcon_(1941_film);https://es.wikipedia.org/wiki/El_halc%C3%B3n_malt%C3%A9s_(pel%C3%ADcula_de_1941);https://pt.wikipedia.org/wiki/Rel%C3%ADquia_Macabra
1942;One Foot in Heaven;Não;https://en.wikipedia.org/wiki/One_Foot_in_Heaven;;https://pt.wikipedia.org/wiki/One_Foot_in_Heaven
1942;Sergeant York (film);Não;https://en.wikipedia.org/wiki/Sergeant_York_(film);https://es.wikipedia.org/wiki/Sergeant_York;https://pt.wikipedia.org/wiki/Sargento_York
1942;Suspicion (1941 film);Não;https://en.wikipedia.org/wiki/Suspicion_(1941_film);https://es.wikipedia.org/wiki/Suspicion;https://pt.wikipedia.org/wiki/Suspeita
1943;MRS. MINIVER;Sim;https://en.wikipedia.org/wiki/Mrs._Miniver;https://es.wikipedia.org/wiki/La_se%C3%B1ora_Miniver;https://pt.wikipedia.org/wiki/Mrs._Miniver
1943;49th Parallel film; Não;https://en.wikipedia.org/wiki/49th_Parallel_(film);https://es.wikipedia.org/wiki/49th_Parallel;https://pt.wikipedia.org/wiki/49th_Parallel
1943;Kings Row; Não;https://en.wikipedia.org/wiki/Kings_Row;https://es.wikipedia.org/wiki/Kings_Row;https://pt.wikipedia.org/wiki/Em_Cada_Cora%C3%A7%C3%A3o_um_Pecado
1943;THE MAGNIFICENT AMBERSONS;Não;https://en.wikipedia.org/wiki/The_Magnificent_Ambersons;https://es.wikipedia.org/wiki/The_Magnificent_Ambersons_(novela);
1943;THE PRIDE OF THE YANKEES;Não;https://en.wikipedia.org/wiki/The_Pride_of_the_Yankees;https://es.wikipedia.org/wiki/El_orgullo_de_los_Yanquis;https://pt.wikipedia.org/wiki/The_Pride_of_the_Yankees
1943;THE PIED PIPER (1942 film);Não;https://en.wikipedia.org/wiki/The_Pied_Piper_(1942_film);;https://pt.wikipedia.org/wiki/The_Pied_Piper
1943;RANDOM HARVEST (film);Não;https://en.wikipedia.org/wiki/Random_Harvest_(film);https://es.wikipedia.org/wiki/Random_Harvest;https://pt.wikipedia.org/wiki/Random_Harvest
1943;WAKE ISLAND(1942 film);Não;https://en.wikipedia.org/wiki/Wake_Island_(film);;https://pt.wikipedia.org/wiki/Wake_Island
1943;YANKEE DOODLE DANDY (film);Não;https://en.wikipedia.org/wiki/Yankee_Doodle_Dandy;https://es.wikipedia.org/wiki/Yanqui_Dandy;https://pt.wikipedia.org/wiki/Yankee_Doodle_Dandy
1944;CASABLANCA;Sim;https://en.wikipedia.org/wiki/Casablanca;https://es.wikipedia.org/wiki/Casablanca;https://pt.wikipedia.org/wiki/Casablanca
1944;FOR WHOM THE BELL TOLLS;Não;https://en.wikipedia.org/wiki/For_Whom_the_Bell_Tolls;https://es.wikipedia.org/wiki/Por_qui%C3%A9n_doblan_las_campanas;https://pt.wikipedia.org/wiki/Por_Quem_os_Sinos_Dobram
1944;Heaven Can Wait;Não;https://en.wikipedia.org/wiki/Heaven_Can_Wait_(1943_film);https://es.wikipedia.org/wiki/Heaven_Can_Wait_(pel%C3%ADcula_de_1943);https://pt.wikipedia.org/wiki/Heaven_Can_Wait_(1943)
