ANO;TITULO;VENCEDOR;LINK_EN;LINK_ES;LINK_PT;PAGEID_EN;TITLE_EN;TITLE_ES;PAGEID_ES;TITLE_PT;PAGEID_PT
1936;The Lives of a Bengal Lancer (film);Não;https://en.wikipedia.org/wiki/The_Lives_of_a_Bengal_Lancer_(film);https://es.wikipedia.org/wiki/The_Lives_of_a_Bengal_Lancer;https://pt.wikipedia.org/wiki/Lanceiros_da_Índia;61484;The Lives of a Bengal Lancer (film);The Lives of a Bengal Lancer;229799.0;Lanceiros da Índia;1272722
1936;Naughty Marietta (film);Não;https://en.wikipedia.org/wiki/Naughty_Marietta_(film);https://es.wikipedia.org/wiki/Naughty_Marietta;https://pt.wikipedia.org/wiki/Naughty_Marietta;61494;Naughty Marietta (film);Naughty Marietta;9419085.0;Naughty Marietta;4253438
1936;Ruggles of Red Gap;Não;https://en.wikipedia.org/wiki/Ruggles_of_Red_Gap;;https://pt.wikipedia.org/wiki/Ruggles_of_Red_Gap;61499;Ruggles of Red Gap;;;Ruggles of Red Gap;3202627
1936;Top Hat;Não;https://en.wikipedia.org/wiki/Top_Hat;https://es.wikipedia.org/wiki/Sombrero_de_copa_(película);https://pt.wikipedia.org/wiki/Top_Hat;61501;Top Hat;Sombrero de copa (película);1067542.0;Top Hat;719323
1937;The Great Ziegfeld;Sim;https://en.wikipedia.org/wiki/The_Great_Ziegfeld;https://es.wikipedia.org/wiki/El_gran_Ziegfeld;https://pt.wikipedia.org/wiki/The_Great_Ziegfeld;44437;The Great Ziegfeld;El gran Ziegfeld;2989727.0;The Great Ziegfeld;603488
1937;Anthony Adverse;Não;https://en.wikipedia.org/wiki/Anthony_Adverse;https://es.wikipedia.org/wiki/Anthony_Adverse;https://pt.wikipedia.org/wiki/Adversidade;61505;Anthony Adverse;Anthony Adverse;8445472.0;Adversidade;1122609
1937;Libeled Lady;Não;https://en.wikipedia.org/wiki/Libeled_Lady;https://es.wikipedia.org/wiki/Libeled_Lady;https://pt.wikipedia.org/wiki/Libeled_Lady;61507;Libeled Lady;Libeled Lady;9329463.0;Libeled Lady;2497919
1937;Dodsworth (film);Não;https://en.wikipedia.org/wiki/Dodsworth_(film);https://es.wikipedia.org/wiki/Dodsworth;https://pt.wikipedia.org/wiki/Dodsworth;14576560;Dodsworth (film);Dodsworth;10694633.0;Dodsworth;4257392
1937;Mr. Deeds Goes to Town;Não;https://en.wikipedia.org/wiki/Mr._Deeds_Goes_to_Town;https://es.wikipedia.org/wiki/El_secreto_de_vivir;https://pt.wikipedia.org/wiki/Mr._Deeds_Goes_to_Town;61508;Mr. Deeds Goes to Town;El secreto de vivir;3703833.0;Mr. Deeds Goes to Town;2315263
1937;Romeo and Juliet (1936 film);Não;https://en.wikipedia.org/wiki/Romeo_and_Juliet_(1936_film);https://es.wikipedia.org/wiki/Romeo_y_Julieta_(película_de_1936);https://pt.wikipedia.org/wiki/Romeo_and_Juliet_(1936);334649;Romeo and Juliet (1936 film);Romeo y Julieta (película de 1936);28320.0;Romeo and Juliet (1936);1313807
1937;San Francisco (1936 film);Não;https://en.wikipedia.org/wiki/San_Francisco_(1936_film);;https://pt.wikipedia.org/wiki/San_Francisco_(filme);44218;San Francisco (1936 film);;;San Francisco (filme);3848338
1937;The Story of Louis Pasteur;Não;https://en.wikipedia.org/wiki/The_Story_of_Louis_Pasteur;https://es.wikipedia.org/wiki/The_Story_of_Louis_Pasteur;https://pt.wikipedia.org/wiki/The_Story_of_Louis_Pasteur;61514;The Story of Louis Pasteur;The Story of Louis Pasteur;1816265.0;The Story of Louis Pasteur;1639599
1937;A Tale of Two Cities;Não;https://en.wikipedia.org/wiki/A_Tale_of_Two_Cities_(1935_film);;https://pt.wikipedia.org/wiki/A_Tale_of_Two_Cities_(1935);61519;A Tale of Two Cities (1935 film);;;A Tale of Two Cities (1935);4257714
1938;The Life of Emile Zola;Sim;https://en.wikipedia.org/wiki/The_Life_of_Emile_Zola;https://es.wikipedia.org/wiki/The_Life_of_Emile_Zola;https://pt.wikipedia.org/wiki/The_Life_of_Emile_Zola;44210;The Life of Emile Zola;The Life of Emile Zola;3497219.0;The Life of Emile Zola;1588474
1938;The Awful Truth;Não;https://en.wikipedia.org/wiki/The_Awful_Truth;https://es.wikipedia.org/wiki/The_Awful_Truth;https://pt.wikipedia.org/wiki/The_Awful_Truth;61522;The Awful Truth;The Awful Truth;28617.0;The Awful Truth;1132336
